timestamp,x (mm),y (mm),z (mm)
1741709793.648101,-397.17622015581617,449.31083707343737,173.92212955304782
1741709793.6590745,-394.74252417889807,451.4384723743865,173.93777424908728
1741709793.6700957,-392.25530066658666,453.5958003238951,173.93777424908728
1741709793.6810725,-389.6652842568263,455.8341317815003,173.93777424908728
1741709793.692105,-387.1131683510881,457.99878857363177,173.92212955304782
1741709793.7030802,-384.56252759557367,460.1421652282706,173.93777424908728
1741709793.7140875,-382.0877756495212,462.20500279539783,173.92212955304782
1741709793.7250788,-379.6233249189737,464.2308390349143,173.92212955304782
1741709793.7360666,-376.98202633744023,466.378294009064,173.929951906469
1741709793.7470672,-374.24461331209125,468.57816862084553,173.93777424908728
1741709793.7580705,-371.65596010516117,470.6344121185588,173.929951906469
1741709793.7691288,-369.0169338872336,472.7171238085038,173.929951906469
1741709793.7800736,-366.47632388826764,474.700191986705,173.93777424908728
1741709793.7910998,-363.775107894758,476.75697477156996,173.929951906469
1741709793.8020792,-360.96712181232186,478.8864991704303,173.929951906469
1741709793.8130882,-358.3644898297281,480.8482630073655,173.929951906469
1741709793.8240814,-355.8343165234709,482.70746603551686,173.929951906469
1741709793.8350706,-353.26129822391886,484.6095753912875,173.93777424908728
1741709793.8460858,-350.4467573220383,486.6493594823496,173.93777424908728
1741709793.857082,-347.6633028430999,488.6368238523869,173.929951906469
1741709793.8680687,-345.02514261670603,490.492559393928,173.929951906469
1741709793.8790867,-342.4719616499997,492.29884978095606,173.929951906469
1741709793.8900747,-339.83376069821827,494.11408890865255,173.929951906469
1741709793.9010286,-337.0556915861215,496.017586536177,173.93777424908728
1741709793.912061,-334.3021230754975,497.8669103197887,173.93777424908728
1741709793.923071,-331.68086367366294,499.62278484440986,173.929951906469
1741709793.9340687,-329.01027354653104,501.3954608327741,173.93777424908728
1741709793.9450788,-326.3566191381649,503.12196771274097,173.929951906469
1741709793.9560668,-323.4626446477894,504.9927812219106,173.929951906469
1741709793.9670672,-320.59864111696413,506.8213773201861,173.93777424908728
1741709793.9780653,-317.8816920326236,508.5293342373992,173.93777424908728
1741709793.9890814,-315.10796613576923,510.24815942358737,173.93777424908728
1741709794.000067,-312.3367985949684,511.9496369613615,173.92212955304782
