timestamp,positions
1768095275.3601177,"[0.108111970029014, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095275.3672934,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.374426,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.32203371125754543, 0.2991027212712765]"
1768095275.3811557,"[0.10814226199497821, 0.14779442660971337, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.3880386,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.3950791,"[0.108111970029014, 0.14776413464374916, 0.7124060977303757, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.4022715,"[0.108111970029014, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.4093802,"[0.10814226199497821, 0.14773384267778494, 0.7123758151806271, 0.5344409012689443, 0.3220943140219053, 0.2991027212712765]"
1768095275.4161017,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095275.4231749,"[0.10817255396094244, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.32203371125754543, 0.2991330226534564]"
1768095275.4300182,"[0.108111970029014, 0.14773384267778494, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.4372196,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5345014663684413, 0.3220640314721568, 0.2991027212712765]"
1768095275.4440231,"[0.108111970029014, 0.14776413464374916, 0.7123455326308786, 0.5345014663684413, 0.3220640314721568, 0.2991330226534564]"
1768095275.451095,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220034287077969, 0.2991330226534564]"
1768095275.45815,"[0.10814226199497821, 0.14779442660971337, 0.7123455326308786, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.4650989,"[0.108111970029014, 0.14776413464374916, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.299072438721528]"
1768095275.4720721,"[0.10814226199497821, 0.14773384267778494, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.4793544,"[0.108111970029014, 0.14773384267778494, 0.7123758151806271, 0.5345014663684413, 0.3220640314721568, 0.2991330226534564]"
1768095275.486289,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220943140219053, 0.2991330226534564]"
1768095275.4932427,"[0.108111970029014, 0.14779442660971337, 0.7124060977303757, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.500272,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.507404,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.5142488,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.521253,"[0.108111970029014, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.5282662,"[0.108111970029014, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.5353317,"[0.10820284592690667, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.5419452,"[0.108111970029014, 0.14779442660971337, 0.7124060977303757, 0.5344711838186929, 0.32212459657165377, 0.2991027212712765]"
1768095275.549357,"[0.108111970029014, 0.14779442660971337, 0.7123455326308786, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.5561986,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.5632024,"[0.10814226199497821, 0.1478247185756776, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.5704277,"[0.108111970029014, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.5771556,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.5840538,"[0.108111970029014, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.5908456,"[0.108111970029014, 0.14776413464374916, 0.7124060977303757, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095275.597041,"[0.108111970029014, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.29916330520320494]"
1768095275.6041772,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.2991027212712765]"
1768095275.6113365,"[0.108111970029014, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.6181872,"[0.108111970029014, 0.14779442660971337, 0.7123455326308786, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.6252425,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.6322052,"[0.108111970029014, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.299072438721528]"
1768095275.6391656,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.29916330520320494]"
1768095275.6460679,"[0.10814226199497821, 0.14779442660971337, 0.7124363802801241, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.6532135,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.6603284,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.667269,"[0.10814226199497821, 0.14779442660971337, 0.7124060977303757, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.6741748,"[0.10814226199497821, 0.14779442660971337, 0.7124060977303757, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095275.681223,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.688278,"[0.10814226199497821, 0.14779442660971337, 0.7124060977303757, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095275.6953988,"[0.10814226199497821, 0.14779442660971337, 0.7123455326308786, 0.5344711838186929, 0.3220943140219053, 0.2991027212712765]"
1768095275.7020948,"[0.108111970029014, 0.1478247185756776, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.709156,"[0.10814226199497821, 0.14773384267778494, 0.7124060977303757, 0.5344711838186929, 0.32203371125754543, 0.2991027212712765]"
1768095275.7161093,"[0.108111970029014, 0.14779442660971337, 0.7123455326308786, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095275.7231414,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.2991027212712765]"
1768095275.7301016,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5345014663684413, 0.32203371125754543, 0.2991330226534564]"
1768095275.7371194,"[0.10814226199497821, 0.14773384267778494, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.2991027212712765]"
1768095275.7440796,"[0.10814226199497821, 0.14773384267778494, 0.7123758151806271, 0.5344409012689443, 0.32203371125754543, 0.2991330226534564]"
1768095275.7511141,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.29916330520320494]"
1768095275.7582464,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.7651994,"[0.108111970029014, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.7720358,"[0.10817255396094244, 0.14773384267778494, 0.7123455326308786, 0.5344711838186929, 0.3220943140219053, 0.2991027212712765]"
1768095275.7791405,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.7860217,"[0.10814226199497821, 0.14773384267778494, 0.7123455326308786, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.7930105,"[0.108111970029014, 0.14779442660971337, 0.7124060977303757, 0.5344711838186929, 0.3220943140219053, 0.2991027212712765]"
1768095275.7992773,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.80627,"[0.10814226199497821, 0.14776413464374916, 0.7124060977303757, 0.5345014663684413, 0.3220640314721568, 0.29916330520320494]"
1768095275.8131897,"[0.10814226199497821, 0.14773384267778494, 0.7123758151806271, 0.5344409012689443, 0.3220943140219053, 0.2991330226534564]"
